[Zymtr1]	[Zymoseptoria tritici]
[Xylpal1]	[Xylaria pallida]
[Xyldig919_1]	[Xylaria digitata]
[Xerpru1]	[Xerocomellus pruinatus]
[Verped1]	[Vermiculariopsiella pediculata]
[Umbpus1]	[Umbilicaria pustulata]
[Tylfel1]	[Tylopilus felleus]
[Trucit1_1]	[Truncocolumella citrina]
[Trinov1]	[Trichoderma novae-zelandiae]
[Trila1]	[Trichoderma lanuginosum]
[Trich5757_1]	[Trichoderma sp.]
[Triev1]	[Trichoderma evansii]
[TriatSC1_1]	[Trichoderma atroviride]
[Triaspe1]	[Trichoderma asperelloides]
[Tri5640_1]	[Trichoderma sp.]
[Treme1]	[Tremella mesenterica]
[Traver1]	[Trametes versicolor]
[Thiau1]	[Thermocarpiscus australiensis]
[Theth1]	[Thermoascus thermophilus]
[Theste1]	[Thermomyces stellatus]
[Themy1]	[Thermothelomyces myriococcoides]
[Thela1]	[Thermomyces lanuginosus]
[Thehi1]	[Thermothelomyces hinnuleus]
[Thefe1]	[Thermothelomyces fergusii]
[Thecr1]	[Thermoascus crustaceus]
[Talth1]	[Thermomyces dupontii]
[Talem1]	[Rasamsonia emersonii]
[Suqu227_1]	[Suillus quiescens]
[Suqu222_1]	[Suillus quiescens]
[Suigra1]	[Suillus granulatus]
[Suigla1]	[Suillus glandulosipes]
[Suibru1_1]	[Suillus brunnescens]
[Suiac1]	[Suillus acidus]
[Strrug1]	[Stropharia rugosoannulata]
[Stalo1]	[Staphylotrichum longicolle]
[Spapa3]	[Spathaspora passalidarum]
[Schcon1]	[Schizothecium conicum]
[SerlaS7_3_2]	[Serpula lacrymans]
[RusSA2_1]	[Russula sp.]
[RusochF39_1]	[Russula ochroleuca]
[Rusnee1]	[Russula sp.]
[RusKIS4_1_1]	[Russula sp.]
[Ruseme113_1]	[Russula emetica]
[RusdecM1]	[Russula decolorans]
[Ruscya1]	[Russula cyanoxantha]
[Rhota1]	[Rhodotorula taiwanensis]
[Rhipu1]	[Rhizomucor pusillus]
[Rhior3]	[Rhizopus delemar]
[Rhima1]	[Rhinocladiella mackenziei]
[Remth1]	[Remersonia thermophila]
[Rasby1]	[Rasamsonia byssochlamydoides]
[Psol18327_1]	[Penicillium solitum]
[Psisu1]	[Psilocybe subaeruginosa]
[Psal15291_1]	[Penicillium salamii]
[Proq16744_1]	[Penicillium roqueforti]
[Proq16728_1]	[Penicillium roqueforti]
[Ppol5141_1]	[Penicillium polonicum]
[Ppan17449_1]	[Penicillium paneum]
[Ppan17133_1]	[Penicillium paneum]
