domain	phylum	class	order	family	genus	key
Eukaryota	Microsporidia	undefined Microsporidia	undefined Microsporidia	Ordosporidae	Ordospora	[Ordospora pajunii]
Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Daldinia	[Daldinia eschscholtzii]
Eukaryota	Basidiomycota	Agaricomycetes	Boletales	Coniophoraceae	Coniophora	[Coniophora olivacea]
Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	[Pichia kudriavzevii]
Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Nemania	[Nemania sp.]
Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	[Alternaria limoniasperae]
Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Daldinia	[Daldinia bambusicola]
Eukaryota	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Thanatephorus	[Thanatephorus cucumeris]
Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	[Chaetomium olivicolor]
Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	[Aspergillus mottae]
Eukaryota	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Whalleya	[Whalleya microplaca]
Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	[Aspergillus primulinus]
Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Panaeolus	[Panaeolus papilionaceus]
Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	[Penicillium canescens]
Eukaryota	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	[Russula emetica]
Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Ectophoma	[Phoma multirostrata]
Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	[Trichoderma caesareum]
Eukaryota	Ascomycota	Lecanoromycetes	Pertusariales	Icmadophilaceae	Dibaeis	[Dibaeis baeomyces]
Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	[Tricholoma populinum]
Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Rasamsonia	[Rasamsonia emersonii]
Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	Darksidea	[Darksidea alpha]
Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Adustoporia	[Antrodia sinuosa]
Eukaryota	Ascomycota	Sordariomycetes	Diaporthales	Gnomoniaceae	Gnomoniopsis	[Gnomoniopsis castanea]
Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	[Aspergillus brevistipitatus]
Eukaryota	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Digitatispora	[Digitatispora marina]
Eukaryota	Zoopagomycota	Dimargaritomycetes	Dimargaritales	Dimargaritaceae	Dimargaris	[Dimargaris cristalligena]
Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Crepidotus	[Crepidotus variabilis]
Eukaryota	Basidiomycota	Exobasidiomycetes	Tilletiales	Tilletiaceae	Tilletia	[Tilletia indica]
Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Pyrenophora	[Pyrenophora teres]
Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Sclerotinia	[Sclerotinia sclerotiorum]
Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	[Aspergillus shendaweii]
Eukaryota	Ascomycota	Sordariomycetes	Melanosporales	Ceratostomataceae	Melanospora	[Melanospora tiffanyae]
Eukaryota	Basidiomycota	Agaricomycetes	Boletales	Pisolithaceae	Pisolithus	[Pisolithus microcarpus]
Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Gymnopus	[Gymnopus earleae]
Eukaryota	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	[Suillus cf.]
Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	[Mycena albidolilacea]
Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	[Aspergillus polyporicola]
Eukaryota	Ascomycota	Dothideomycetes	Trypetheliales	Trypetheliaceae	Trypethelium	[Trypethelium eluteriae]
