SampleName	SampleID	occurence
16349	GB01007340S	5521
9601	GB01012613S	19312
44	GB01003816S	357423
10449	GB01011171S	16862
5914	GB01017775S	33983
18061	GB01021091S	1133
10625	GB01013218S	16417
3489	GB01018164S	49549
6961	GB01016378S	28742
4852	GB01008561S	40166
1271	GB01001608S	98157
5747	GB01021509S	34890
17623	GB01021572S	1776
15056	GB01002868S	8549
3663	GB01016307S	48183
8690	GB01008347S	22093
11324	GB01008890S	14443
1109	GB01003425S	107984
195	GB01003470S	223312
8899	GB01014037S	21438
498	GB01000824S	163604
2012	GB01010486S	70255
14800	GB01013919S	8995
2328	GB01016536S	62449
18504	GB01023023S	522
12709	GB01020258S	11838
8880	GB01023299S	21480
5008	GB01017644S	39345
8856	GB01003041S	21539
10607	GB01004119S	16479
2261	GB01015410S	63928
9734	GB01009490S	18938
3064	GB01010519S	53506
15998	GB01009499S	6521
7658	GB01022947S	25864
9883	GB01013699S	18525
11850	GB01009865S	13275
9509	GB01010016S	19548
9998	GB01003077S	18173
7838	GB01010831S	25265
731	GB01003328S	138911
10202	GB01012628S	17558
17155	GB01017222S	2930
2999	GB01008602S	54099
6118	GB01022110S	32902
18751	GB01004283S	2
11322	GB01002842S	14449
989	GB01000959S	115315
12658	GB01019505S	11910
2489	GB01024094S	59945
12511	GB01018329S	12125
11473	GB01018997S	14064
11182	GB01010013S	14815
1115	GB01003342S	107590
6375	GB01022145S	31640
10509	GB01011838S	16715
14179	GB01019840S	9887
16410	GB01019418S	5313
9650	GB01009963S	19159
14617	GB01020056S	9263
15019	GB01016731S	8619
16566	GB01003396S	4847
9321	GB01020318S	20038
10733	GB01013702S	16098
12702	GB01019815S	11845
8461	GB01013205S	22846
2330	GB01024101S	62419
1731	GB01000074S	78090
17491	GB01001216S	2091
3741	GB01000021S	47494
5774	GB01023427S	34771
18740	GB01021753S	5
10091	GB01008926S	17897
8377	GB01011912S	23189
3435	GB01015424S	50099
8086	GB01002908S	24235
17531	GB01020769S	1994
5997	GB01008247S	33505
16411	GB01009437S	5311
13005	GB01019546S	11476
6383	GB01023835S	31610
11318	GB01011261S	14459
1485	GB01015345S	88262
5754	GB01024005S	34866
4338	GB01016441S	43228
4903	GB01016655S	39864
12362	GB01009442S	12349
4117	GB01010642S	44713
16691	GB01024456S	4362
12509	GB01010919S	12129
113	GB01003750S	257640
10225	GB01015567S	17487
7549	GB01016052S	26305
11126	GB01004657S	14978
5231	GB01016025S	37981
13563	GB01018509S	10749
13732	GB01018303S	10525
7288	GB01023197S	27345
283	GB01003303S	198715
3877	GB01012829S	46415
13813	GB01012497S	10425
4406	GB01017792S	42791
12838	GB01020098S	11685
18771	GB01007796S	1
7830	GB01010573S	25284
4355	GB01000587S	43080
6716	GB01012263S	29977
14016	GB01019180S	10150
13668	GB01003239S	10611
7268	GB01015985S	27453
10547	GB01009930S	16635
12730	GB01018622S	11811
10435	GB01015774S	16908
15777	GB01012419S	6977
2297	GB01017603S	63109
4523	GB01000637S	42006
4092	GB01018203S	44918
7438	GB01003026S	26737
11941	GB01009901S	13101
4516	GB01001356S	42053
6498	GB01010817S	31100
6574	GB01010664S	30705
2616	GB01012595S	58241
2836	GB01015373S	55891
8894	GB01009807S	21449
7283	GB01012350S	27374
3244	GB01017496S	51679
9884	GB01013197S	18525
10100	GB01010169S	17864
7164	GB01016078S	27898
12338	GB01010253S	12373
18605	GB01023059S	376
11990	GB01010215S	12990
18749	GB01004280S	3
10549	GB01016772S	16632
