level1	 level2 	KOGid
Translation, ribosomal structure and biogenesis	60S acidic ribosomal protein P2	[KOG3449]
Function unknown	Uncharacterized conserved protein	[KOG4100]
Function unknown	Uncharacterized conserved protein	[KOG2374]
RNA processing and modification	mRNA processing protein	[KOG1258]
Signal transduction mechanisms	Nischarin, modulator of integrin alpha5 subunit action	[KOG1259]
Cytoskeleton	Nischarin, modulator of integrin alpha5 subunit action	[KOG1259]
Energy production and conversion	Aldehyde dehydrogenase	[KOG2451]
Carbohydrate transport and metabolism	beta-1,6-N-acetylglucosaminyltransferase, contains WSC domain	[KOG4157]
Posttranslational modification, protein turnover, chaperones	beta-1,6-N-acetylglucosaminyltransferase, contains WSC domain	[KOG4157]
Amino acid transport and metabolism	Threonine/serine dehydratases	[KOG1250]
Signal transduction mechanisms	Serine racemase	[KOG1251]
Amino acid transport and metabolism	Serine racemase	[KOG1251]
Amino acid transport and metabolism	Cystathionine beta-synthase and related enzymes	[KOG1252]
Translation, ribosomal structure and biogenesis	tRNA methyltransferase	[KOG1253]
Energy production and conversion	ATP-citrate lyase	[KOG1254]
Energy production and conversion	Succinyl-CoA synthetase, alpha subunit	[KOG1255]
Lipid transport and metabolism	Long-chain acyl-CoA synthetases (AMP-forming)	[KOG1256]
Energy production and conversion	NADP+-dependent malic enzyme	[KOG1257]
Function unknown	Uncharacterized membrane protein	[KOG2733]
Function unknown	Uncharacterized conserved protein	[KOG2871]
General function prediction only	DMQ mono-oxygenase/Ubiquinone biosynthesis protein COQ7/CLK-1/CAT5	[KOG4061]
Signal transduction mechanisms	Uncharacterized conserved protein, contains DEP domain	[KOG3572]
Function unknown	Uncharacterized conserved protein	[KOG4465]
Intracellular trafficking, secretion, and vesicular transport	Mannose lectin ERGIC-53, involved in glycoprotein traffic	[KOG3838]
Carbohydrate transport and metabolism	Glycogen synthase kinase-3	[KOG0658]
Translation, ribosomal structure and biogenesis	Mitochondrial/chloroplast ribosomal protein L19	[KOG1698]
Amino acid transport and metabolism	Cysteine dioxygenase CDO1	[KOG4064]
Function unknown	Predicted membrane protein	[KOG2970]
Translation, ribosomal structure and biogenesis	60S ribosomal protein L35A/L37	[KOG0887]
Cell cycle control, cell division, chromosome partitioning	Structural maintenance of chromosome protein 1 (sister chromatid cohesion complex Cohesin, subunit SMC1)	[KOG0018]
Function unknown	Uncharacterized conserved protein	[KOG3692]
General function prediction only	Dishevelled 3 and related proteins	[KOG3571]
Inorganic ion transport and metabolism	Chloride ion current inducer protein	[KOG3238]
Signal transduction mechanisms	cGMP-phosphodiesterase, delta subunit	[KOG4038]
Function unknown	Uncharacterized conserved protein	[KOG4068]
Posttranslational modification, protein turnover, chaperones	Sec61 protein translocation complex, beta subunit	[KOG3457]
Transcription	MADS box transcription factor	[KOG0014]
General function prediction only	Proteins containing regions of low-complexity	[KOG2225]
Posttranslational modification, protein turnover, chaperones	Similar to cyclophilin-type peptidyl-prolyl cis-trans isomerase	[KOG0884]
Cytoskeleton	Cytoskeletal regulator Flightless-I (contains leucine-rich and gelsolin repeats)	[KOG0444]
Translation, ribosomal structure and biogenesis	60s ribosomal protein L18	[KOG1714]
Transcription	Homeobox transcription factor	[KOG2251]
Posttranslational modification, protein turnover, chaperones	Ubiquitin-like protein	[KOG0010]
General function prediction only	Ubiquitin-like protein	[KOG0010]
General function prediction only	Predicted coiled-coil protein	[KOG3335]
Signal transduction mechanisms	Protein tyrosine phosphatase IVA1	[KOG2836]
Transcription	E2F-like protein	[KOG2829]
Amino acid transport and metabolism	Argininosuccinate lyase	[KOG1316]
Cell cycle control, cell division, chromosome partitioning	Checkpoint 9-1-1 complex, HUS1 component	[KOG3999]
Replication, recombination and repair	Checkpoint 9-1-1 complex, HUS1 component	[KOG3999]
General function prediction only	Transcription factor BarH and related HOX domain proteins	[KOG0488]
Translation, ribosomal structure and biogenesis	Mitochondrial/chloroplast ribosomal protein L18	[KOG3333]
RNA processing and modification	Alternative splicing factor SRp20/9G8 (RRM superfamily)	[KOG0107]
General function prediction only	TPR repeat-containing protein	[KOG4234]
RNA processing and modification	Sof1-like rRNA processing protein (contains WD40 repeats)	[KOG0268]
Posttranslational modification, protein turnover, chaperones	Ubiquitin-specific protease UBP14	[KOG0944]
Signal transduction mechanisms	Serine/threonine protein kinase PKC mu/PKD and related proteins	[KOG4236]
Intracellular trafficking, secretion, and vesicular transport	Putative cargo transport protein ERV29	[KOG3998]
Transcription	Transcription factor, contains HOX domain	[KOG0847]
Intracellular trafficking, secretion, and vesicular transport	Vacuolar assembly/sorting protein VPS8	[KOG2079]
RNA processing and modification	tRNA modification enzyme	[KOG2078]
Nucleotide transport and metabolism	Bifunctional ATP sulfurylase/adenosine 5'-phosphosulfate kinase	[KOG4238]
RNA processing and modification	mRNA cleavage and polyadenylation factor I/II complex, subunit Pcf11	[KOG2071]
Nucleotide transport and metabolism	Guanine nucleotide exchange factor	[KOG2070]
Cell cycle control, cell division, chromosome partitioning	SAP family cell cycle dependent phosphatase-associated protein	[KOG2073]
Translation, ribosomal structure and biogenesis	Translation initiation factor 3, subunit a (eIF-3a)	[KOG2072]
Function unknown	Topoisomerase TOP1-interacting protein BTBD1	[KOG2075]
Transcription	RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH, subunit TFB1	[KOG2074]
Replication, recombination and repair	RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH, subunit TFB1	[KOG2074]
Signal transduction mechanisms	JNK/SAPK-associated protein-1	[KOG2077]
Transcription	RNA polymerase III transcription factor TFIIIC	[KOG2076]
Replication, recombination and repair	Predicted transcription regulator/nuclease, contains ParB domain	[KOG3388]
Amino acid transport and metabolism	Glutamate/leucine/phenylalanine/valine dehydrogenases	[KOG2250]
RNA processing and modification	U1 snRNP complex, subunit SNU71 and related PWI-motif proteins	[KOG2253]
Transcription	CCAAT displacement protein and related homeoproteins	[KOG2252]
Translation, ribosomal structure and biogenesis	Peptidyl-tRNA hydrolase	[KOG2255]
Carbohydrate transport and metabolism	Predicted endo-1,3-beta-glucanase	[KOG2254]
Function unknown	Uncharacterized conserved protein	[KOG2709]
Translation, ribosomal structure and biogenesis	Predicted protein involved in nuclear export of pre-ribosomes	[KOG2256]
Posttranslational modification, protein turnover, chaperones	Predicted metalloprotease with chaperone activity (RNAse H/HSP70 fold)	[KOG2707]
Function unknown	Predicted membrane protein	[KOG2706]
Energy production and conversion	NADH:ubiquinone oxidoreductase, B17.2 subunit	[KOG3382]
Function unknown	Uncharacterized conserved protein	[KOG3383]
General function prediction only	Selenoprotein	[KOG3384]
Nucleotide transport and metabolism	Predicted panthothenate kinase/uridine kinase-related protein	[KOG2702]
Coenzyme transport and metabolism	Predicted panthothenate kinase/uridine kinase-related protein	[KOG2702]
Inorganic ion transport and metabolism	Copper transporter	[KOG3386]
RNA processing and modification	60S ribosomal protein 15.5kD/SNU13, NHP2/L7A family (includes ribonuclease P subunit p38), involved in splicing	[KOG3387]
Translation, ribosomal structure and biogenesis	60S ribosomal protein 15.5kD/SNU13, NHP2/L7A family (includes ribonuclease P subunit p38), involved in splicing	[KOG3387]
Cell cycle control, cell division, chromosome partitioning	Septin family protein (P-loop GTPase)	[KOG2655]
Cytoskeleton	Septin family protein (P-loop GTPase)	[KOG2655]
Intracellular trafficking, secretion, and vesicular transport	Septin family protein (P-loop GTPase)	[KOG2655]
Function unknown	Uncharacterized conserved protein	[KOG2654]
Signal transduction mechanisms	Glycosylphosphatidylinositol anchor synthesis protein	[KOG2125]
General function prediction only	Predicted ATPase	[KOG2383]
General function prediction only	Predicted alpha/beta hydrolase	[KOG2382]
Posttranslational modification, protein turnover, chaperones	Parvulin-like peptidyl-prolyl cis-trans isomerase	[KOG3258]
Posttranslational modification, protein turnover, chaperones	Peptidyl-prolyl cis-trans isomerase	[KOG3259]
Nucleotide transport and metabolism	CTP synthase (UTP-ammonia lyase)	[KOG2387]
RNA processing and modification	mRNA capping enzyme, guanylyltransferase (alpha) subunit	[KOG2386]
Function unknown	Uncharacterized conserved protein	[KOG4033]
General function prediction only	Major histocompatibility complex protein BAT4, contains G-patch and ankyrin domains	[KOG2384]
Function unknown	Uncharacterized conserved protein	[KOG3252]
RNA processing and modification	rRNA adenine N-6-methyltransferase	[KOG2651]
Transcription	Predicted bromodomain transcription factor	[KOG2389]
Intracellular trafficking, secretion, and vesicular transport	Golgi SNAP receptor complex member	[KOG3251]
Energy production and conversion	NADH:ubiquinone oxidoreductase, NDUFS8/23 kDa subunit	[KOG3256]
Translation, ribosomal structure and biogenesis	Mitochondrial/chloroplast ribosomal protein L11	[KOG3257]
Transcription	RNA polymerase II transcription mediator	[KOG4522]
Translation, ribosomal structure and biogenesis	60S ribosomal protein L9	[KOG3255]
Function unknown	Uncharacterized conserved protein, contains PSP domain	[KOG2673]
Coenzyme transport and metabolism	Lipoate synthase	[KOG2672]
Replication, recombination and repair	Putative RNA methylase	[KOG2671]
Carbohydrate transport and metabolism	Enolase	[KOG2670]
Intracellular trafficking, secretion, and vesicular transport	Stoned B synaptic vesicle biogenesis protein	[KOG2677]
General function prediction only	Predicted metal-dependent hydrolase (beta-lactamase superfamily)	[KOG2121]
Cytoskeleton	Adenylate cyclase-associated protein (CAP/Srv2p)	[KOG2675]
Signal transduction mechanisms	Adenylate cyclase-associated protein (CAP/Srv2p)	[KOG2675]
Cytoskeleton	Cysteine protease required for autophagy - Apg4p/Aut2p	[KOG2674]
Intracellular trafficking, secretion, and vesicular transport	Cysteine protease required for autophagy - Apg4p/Aut2p	[KOG2674]
Function unknown	Uncharacterized conserved protein	[KOG4498]
Posttranslational modification, protein turnover, chaperones	Purple (tartrate-resistant) acid phosphatase	[KOG2679]
Transcription	RNA polymerase II transcription initiation factor TFIIA, large chain	[KOG2652]
Coenzyme transport and metabolism	Micronutrient transporters (folate transporter family)	[KOG3810]
Nucleotide transport and metabolism	Phosphoribosylamidoimidazole-succinocarboxamide synthase	[KOG2835]
Inorganic ion transport and metabolism	L-type voltage-dependent Ca2+ channel, beta subunit	[KOG3812]
Signal transduction mechanisms	L-type voltage-dependent Ca2+ channel, beta subunit	[KOG3812]
General function prediction only	Uncharacterized conserved protein (tumor-suppressor AXUD1 in humans)	[KOG3813]
Signal transduction mechanisms	Signaling protein van gogh/strabismus	[KOG3814]
Transcription	Transcription factor Doublesex	[KOG3815]
Signal transduction mechanisms	Cell differentiation regulator of the Headcase family	[KOG3816]
Function unknown	Uncharacterized conserved protein	[KOG2346]
Replication, recombination and repair	DNA polymerase epsilon, subunit B	[KOG3818]
Function unknown	Uncharacterized conserved proteins (Hepatitis delta antigen-interacting protein A)	[KOG3819]
General function prediction only	Glycosyltransferase	[KOG2977]
Cell cycle control, cell division, chromosome partitioning	Tuberin - Rap/ran-GTPase-activating protein	[KOG3687]
Signal transduction mechanisms	Tuberin - Rap/ran-GTPase-activating protein	[KOG3687]
Function unknown	Uncharacterized conserved protein	[KOG2819]
Lipid transport and metabolism	Predicted undecaprenyl diphosphate synthase	[KOG2818]
Posttranslational modification, protein turnover, chaperones	Predicted molecular chaperone, contains DnaJ domain	[KOG2813]
Function unknown	Uncharacterized conserved protein	[KOG2812]
Function unknown	Uncharacterized conserved protein	[KOG2811]
Cell cycle control, cell division, chromosome partitioning	Checkpoint 9-1-1 complex, RAD9 component	[KOG2810]
Replication, recombination and repair	Checkpoint 9-1-1 complex, RAD9 component	[KOG2810]
Posttranslational modification, protein turnover, chaperones	Predicted E3 ubiquitin ligase	[KOG2817]
General function prediction only	Predicted transporter ADD1 (major facilitator superfamily)	[KOG2816]
Posttranslational modification, protein turnover, chaperones	Molecular chaperone Prefoldin, subunit 5	[KOG3048]
General function prediction only	Radixin, moesin and related proteins of the ERM family	[KOG3529]
Intracellular trafficking, secretion, and vesicular transport	Ypt/Rab-specific GTPase-activating protein GYP6	[KOG1091]
Translation, ribosomal structure and biogenesis	RNase P/RNase MRP subunit POP5	[KOG4639]
Function unknown	Uncharacterized conserved protein	[KOG3683]
Energy production and conversion	Dihydrolipoamide succinyltransferase (2-oxoglutarate dehydrogenase, E2 subunit)	[KOG0559]
Intracellular trafficking, secretion, and vesicular transport	Vacuolar import and degradation protein	[KOG4635]
